AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
10.6,1526,74.3,2185,"21-10月-17 12.00.00.000000000 上午",932,1719,0,8064,14426
3.9,664,50.5,994,"22-10月-17 12.00.00.000000000 上午",463,844,0,2967,5932
2.4,342,31.9,591,"23-10月-17 12.00.00.000000000 上午",235,414,0,1279,2861
3.1,317,27.9,580,"24-10月-17 12.00.00.000000000 上午",246,370,0,1196,2709
4.7,336,29.4,778,"25-10月-17 12.00.00.000000000 上午",277,417,0,1500,3308
3.1,272,33.5,470,"26-10月-17 12.00.00.000000000 上午",225,326,0,1067,2360
2.7,193,26.7,450,"27-10月-17 12.00.00.000000000 上午",144,249,0,819,1855
2,295,31.1,513,"28-10月-17 12.00.00.000000000 上午",190,381,0,1290,2669
3.6,641,59,935,"29-10月-17 12.00.00.000000000 上午",381,723,0,3160,5840
2.9,506,48.2,747,"30-10月-17 12.00.00.000000000 上午",303,589,0,2659,4804
1.9,345,33.6,500,"31-10月-17 12.00.00.000000000 上午",224,427,0,1583,3079
1.8,316,31.5,480,"01-11月-17 12.00.00.000000000 上午",176,349,0,1285,2606
2.4,312,25.6,616,"02-11月-17 12.00.00.000000000 上午",214,387,0,1213,2742
1.3,288,34.2,319,"03-11月-17 12.00.00.000000000 上午",168,318,0,1671,2764
2.8,462,50.9,770,"04-11月-17 12.00.00.000000000 上午",305,554,0,2261,4352
6,500,48.6,1066,"05-11月-17 12.00.00.000000000 上午",360,576,0,2245,4747
5.4,358,31.3,800,"06-11月-17 12.00.00.000000000 上午",302,463,0,1583,3506
4,459,49,1045,"07-11月-17 12.00.00.000000000 上午",380,561,0,1740,4185
3.7,445,48,963,"08-11月-17 12.00.00.000000000 上午",372,538,0,1348,3666
2.6,297,29.1,634,"09-11月-17 12.00.00.000000000 上午",216,325,0,764,2236
2,258,30.4,562,"10-11月-17 12.00.00.000000000 上午",178,333,0,818,2149
2.6,229,26.2,649,"11-11月-17 12.00.00.000000000 上午",190,303,0,682,2053
2.6,207,27.6,580,"12-11月-17 12.00.00.000000000 上午",204,307,0,755,2053
4.6,124,12.6,359,"13-11月-17 12.00.00.000000000 上午",141,160,0,863,1647
2.5,175,21.6,476,"14-11月-17 12.00.00.000000000 上午",148,262,0,749,1810
